zone no.,zone area(km^2),zone area(m^2),center x(m),center y(m),congestion
870,1.25663,1256630,145961.77,157814.67,6.42
871,1.13472,1134720,147221.06,157904.41,5.28
872,0.920252,920252,149007.88,158255.23,6.26
873,0.984825,984825,147900.64,158283.67,6.23
874,1.19439,1194390,150211.94,158547.64,4.06
875,1.1332,1133200,145488.59,158833.25,7.48
876,0.611854,611854,148375.72,159294.26,7.39
877,0.87682,876820,149100.78,159241.67,8.01
878,0.429337,429337,145614.26,159480.68,8.14
879,3.13677,3136770,150413.22,159364.66,5.92
880,4.412,4412000,146987.68,159418.21,8.69
881,1.4624,1462400,145693.65,160063.07,6.46
882,0.758176,758176,148723.84,160336.69,7.07
883,2.63654,2636540,146444.34,161044.58,6.24
884,4.54422,4544220,149877.22,161091.04,6.26
885,0.847727,847727,156650.53,160402.73,6.68
886,2.95428,2954280,154830.09,160255.05,6.73
887,1.038,1038000,155780.61,161155.06,7.27
888,0.247467,247467,155973.69,161520.81,11.54
889,0.269078,269078,155757.62,161698.63,8.7
890,8.70943,8709430,153146.97,160216.47,6.04
891,3.03517,3035170,155477.37,162651.13,6.08
892,3.4433,3443300,164429.87,163489.97,6.17
893,7.17516,7175160,158431.25,162322.4,6.15
894,10.4593,10459300,158487.34,164413.38,5.94
895,12.4925,12492500,154680.75,164650.33,1.33
896,24.2219,24221900,169251.06,165333.16,3.91
897,10.5661,10566100,165295.96,166307.48,4.92
898,7.22554,7225540,157354.7,166956.66,5.94
899,11.9462,11946200,163428.02,166293.35,6.04
900,12.0177,12017700,161442.73,165833.17,5.94
